Role,Company,Location,Stage,Seniority,Job Type,Work Type,Department,Salary,Date Posted,Date Applied,Date Added,Deadline,Fit Score (%),Matched Skills,Skill Gaps,URL,Notes,Company Notes,Benefits,Cover Letter,Job Description
Frontend Engineer,Figma,"San Francisco, CA",Interview,Mid-Level,Full-time,Hybrid,Design Systems,"$120,000 – $150,000",2026-02-26,2026-03-01,2026-03-01,,88,React; JavaScript; TypeScript; HTML; CSS; Git; REST APIs,GraphQL; Storybook; Jest,https://www.figma.com/careers,"Really excited about this one. Panel felt very conversational.",~4000 employees. Strong design culture. Stack: React TypeScript GraphQL.,"Health insurance, dental, vision, 401k, equity, PTO, remote stipend",,
Software Engineer,Microsoft,"Redmond, WA (Remote OK)",Offer,Mid-Level,Full-time,Remote,Azure DevTools,"$130,000 – $160,000",2026-02-10,2026-02-15,2026-02-15,2026-03-22,82,React; JavaScript; TypeScript; Node.js; SQL; Git; REST APIs,Docker; Kubernetes; Azure,https://careers.microsoft.com,"Offer came in — decide by March 22. Salary strong. Equity vesting 4-year cliff.","Azure DevTools org. Remote-first. Good WLB reputation.","Health insurance, dental, vision, 401k, equity (RSUs), PTO, parental leave",,
Software Engineer,Google,"Mountain View, CA",Interview,Mid-Level,Full-time,Hybrid,Google Maps,"$140,000 – $185,000",2026-03-01,2026-03-04,2026-03-04,,79,JavaScript; Python; TypeScript; SQL; Git; REST APIs,Go; Distributed Systems; gRPC,https://careers.google.com,"Technical panel TOMORROW (March 18). Reviewing system design and LeetCode.","L4 target level. Google Maps org. Very high-impact work.","Health insurance, dental, vision, 401k, equity, free meals, gym, generous PTO",,
Software Engineer,OpenAI,"San Francisco, CA",Screening,Senior,Full-time,On-site,Developer Experience,"$175,000 – $250,000",2026-03-03,2026-03-06,2026-03-06,,72,Python; JavaScript; TypeScript; REST APIs; SQL; Git,LLMs; PyTorch; Kubernetes; Go,https://openai.com/careers,"Phone screen TODAY at 3:30pm. Stretch role — Senior level.","DevEx team builds the API and Playground. Very high comp. On-site in SF.","Health insurance, dental, vision, 401k, equity, meals, gym",,
Software Engineer II,Netflix,"Los Gatos, CA (Remote)",Applied,Mid-Level,Full-time,Remote,Streaming Platform,"$150,000 – $200,000",2026-03-07,2026-03-11,2026-03-11,,75,React; JavaScript; Node.js; TypeScript; Git; SQL,GraphQL; AWS; System Design,https://jobs.netflix.com,"Applied via referral. Netflix pays above market — no bands.","Netflix culture: high freedom high responsibility. Top-of-market pay. No equity — cash only.","Health insurance, dental, vision, unlimited PTO, top-of-market salary",,
Full Stack Engineer,GitHub,Remote,Applied,Mid-Level,Full-time,Remote,Developer Tools,"$125,000 – $155,000",2026-03-04,2026-03-07,2026-03-07,,72,TypeScript; React; Node.js; REST APIs; Git; JavaScript,Ruby on Rails; Kubernetes; Docker,https://github.com/about/careers,"Dream company as a developer. Stack is TypeScript/React/Node.","Microsoft-owned but operates independently. Remote-first globally.","Health insurance, dental, vision, 401k, equity, remote stipend, home office budget",,
Frontend Developer,Meta,"Menlo Park, CA",Applied,Mid-Level,Full-time,Hybrid,Instagram Web,"$135,000 – $175,000",2026-03-12,2026-03-15,2026-03-15,,71,React; JavaScript; TypeScript; HTML; CSS; Git,GraphQL; Relay; A/B Testing,https://www.metacareers.com,"Instagram Web team. Applied this week.","Instagram Web team in Menlo Park. Moves fast. Hybrid 3 days/week.","Health insurance, dental, vision, 401k, equity (RSUs), generous PTO, free meals",,
Full Stack Developer,Stripe,"San Francisco, CA",Screening,Mid-Level,Full-time,Hybrid,Payments Infrastructure,"$140,000 – $170,000",2026-02-26,2026-03-02,2026-03-02,,68,Node.js; JavaScript; TypeScript; REST APIs; SQL; Python,Redis; Kafka; Distributed Systems,https://stripe.com/jobs,"Technical screen March 19. Stripe's bar is high. Studying Redis and event-driven architecture.","Payments infrastructure. Exceptional engineering quality. Docs-driven culture.","Health insurance, dental, vision, 401k, equity, remote-friendly, generous PTO",,
React Developer,Shopify,Remote,Saved,Mid-Level,Full-time,Remote,Merchant Experience,"$110,000 – $140,000",2026-03-14,,2026-03-15,2026-03-28,60,React; JavaScript; TypeScript; Node.js,GraphQL; Ruby; Polaris; Liquid,https://www.shopify.com/careers,"Deadline March 28 — apply this week. Look up Polaris design system.","Fully remote. Merchant Experience builds admin UI. React (Polaris) + Ruby.","Health insurance, dental, vision, 401k, equity, home office stipend, learning budget",,
Backend Engineer,Airbnb,"San Francisco, CA",Applied,Mid-Level,Full-time,Hybrid,Search & Discovery,"$130,000 – $165,000",2026-03-13,2026-03-16,2026-03-16,,55,Python; SQL; JavaScript; REST APIs,Java; Elasticsearch; Redis; Distributed Systems,https://careers.airbnb.com,"Fit score is lower — they want Java primarily. Applied anyway.","Search & Discovery powers listing search and pricing. Primarily Java/Python backend.","Health insurance, dental, vision, 401k, equity, travel credit, remote-friendly",,
Software Development Engineer,Amazon,"Seattle, WA",Not Selected,Mid-Level,Full-time,On-site,AWS Console,"$120,000 – $155,000",2026-01-28,2026-02-02,2026-02-02,,65,JavaScript; React; TypeScript; Node.js; Python; SQL,Java; AWS; Distributed Systems,https://www.amazon.jobs,"Rejected March 5. Failed final system design round. Taking notes for future.","AWS Console team. Leadership Principles heavy. 5-round loop. On-site Seattle.","Health insurance, dental, vision, 401k, equity (RSUs), signing bonus",,
Software Engineer,Spotify,"New York, NY",Ghosted,Mid-Level,Full-time,Hybrid,Web Player,"$115,000 – $145,000",2026-01-10,2026-01-20,2026-01-20,,76,JavaScript; React; TypeScript; HTML; CSS; Git,GraphQL; Web Audio API; Service Workers,https://www.lifeatspotify.com,"Applied January 20. No response after 8 weeks. Followed up once in February.","Web Player team. Good culture. Band structure. NYC hybrid.","Health insurance, dental, vision, 401k, equity, music platform perks, generous PTO",,
